,scopus_id,author
0,25956851600,"Rosenberg, Milton J."
1,24563669900,"Aronfreed, Justin"
2,25957219700,"Rever, Arthur"
3,25955555100,"BATTLE, ESTHER S."
4,25955848000,"Haas, Harold I."
5,6603285541,"Maehr, Martin L."
6,7005925446,"Kelman, Herbert C."
7,7003518384,"Eagly, Alice H."
8,35456308200,"McDonald, Robert L."
9,7003487951,"Gynther, Malcolm D."
10,35461098800,"Kagan, Jerome"
11,6602943883,"Janis, Irving L."
12,7102107725,"Gilmore, J. Barnard"
13,16053604400,"Singer, Jerome E."
14,25956900300,"Shockley, Vernon L."
15,16509145500,"Decharms, Richard"
16,25955159300,"Dave, Prafulachandra N."
17,25957423100,"Zavalloni, Marisa"
18,25952204400,"Cook, Stuart W."
19,24426212400,"Yates, Aubrey J."
20,7102774073,"Laszlo, Judith I."
21,7003771749,"Shakow, David"
22,25956380600,"McCormick, Malcolm Y."
23,25955760100,"Katz, Daniel"
24,35457949700,"Uhlmann, Frank W."
25,6701780689,"Saltz, Eli"
26,56274929100,"Weiner, B."
27,25956195700,"Kaye, Donald"
28,57212956433,"Kirschner, Paul"
29,24791678900,"Milgram, Stanley"
30,7402862267,"Mills, Judson"
31,7003575566,"Aronson, Elliot"
32,7005712811,"Feather, N. T."
33,7402706049,"Stewart, Ralph H."
34,25956363300,"Markwell, Earl D."
35,25948182900,"Chapman, Loren J."
36,7402660816,"Chapman, Jean P."
37,6506529096,"Pyron, Bernard"
38,57199190549,"Wright, Jack M."
39,6602902072,"Harvey, O. J."
40,57208005939,"Ogilvie, Daniel M."
41,24749621800,"McGinn, Noel F."
42,7003354411,"Harburg, Ernest"
43,20134567900,"Julius, Stevo"
44,24539419800,"Freedman, Jonathan L."
45,7102891740,"Sears, David O."
46,7003877209,"Orne, Martin T."
47,7103220091,"EVANS, FREDERICK J."
48,6507317742,"Exline, Ralph"
49,25956018800,"Gray, David"
50,25957152600,"Schuette, Dorothy"
51,8890601200,"Sample, John A."
52,57198875255,"Wilson, Thurlow R."
53,6603883693,"Nunnally, Jun C."
54,36936936100,"Duchnowski, Albert J."
55,7402753044,"Parker, Ronald K."
56,6603794746,"D'Zurilla, Thomas J."
57,7004881937,"Spielberger, Charles D."
58,6505792753,"Denike, L. Douglas"
59,24552643000,"Stein, S. Leonard"
60,35442370600,"Medow, Herman"
61,24586476800,"Zander, Alvin"
62,7801468367,"Bayton, James A."
63,25955550300,"Austin, Lettie J."
64,35455007400,"Burke, Kay R."
65,6603956921,"Comrey, Andrew L."
66,57199630193,"Meschieri, Luigi"
67,25956571300,"Misti, Rafaello"
68,6507652629,"Nencini, Rodolfo"
69,24748111400,"Amster, Harriett"
70,6701757039,"Wurster, Siegfried A."
71,25957473800,"Zlotowski, Martin"
72,36764145500,"Spence, Janet T."
73,6602097149,"Lair, Charles V."
74,7403009757,"GOLDMAN, MORTON"
75,7101963558,"McClelland, David C."
76,7102026808,"Lerner, Melvin J."
77,57202128023,"Stein, David D."
78,6506030702,"Hardyck, Jane A."
79,8143202500,"Smith, M. Brewster"
80,7402867844,"Jenkins, James J."
81,24570926600,"Palermo, David S."
82,7003581472,"Lefcourt, Herbert M."
83,6506302662,"Ladwig, Gordon W."
84,7403014531,"Goldstein, Michael J."
85,57197987160,"Jones, Robert B."
86,7005782264,"Clemens, Theodore L."
87,6507775691,"Flagg, Glenn W."
